Ensembl_ID_base,gene_name,gene_type,log2FC_7043,log2FC_7078,log2FC_7083,log2FC_8004,log2FC_8013,mean_log2FC,median_log2FC,mean_expression
ENSG00000171345,KRT19,protein_coding,-4.899076968764971,-6.881376420408777,-8.678781931162668,-5.190436483405087,-4.936471416401505,-6.117228644028602,-5.190436483405087,131.11006795566666
ENSG00000143631,FLG,protein_coding,-0.4833470100345689,-8.588976151431144,-9.30740533603743,-7.684331290452257,-2.3374216989538414,-5.680296297381848,-7.684331290452257,8395.189473771334
ENSG00000013293,SLC7A14,protein_coding,-5.268372158792709,-5.649411849177273,-5.1899772831887265,-4.9473639371485305,-5.364578020094109,-5.28394064968027,-5.268372158792709,19.408182271999998
ENSG00000136244,IL6,protein_coding,-2.899570346358378,-8.317273332314386,-2.2025508490619554,-8.078861584013188,-3.4275763496651876,-4.985166492282619,-3.4275763496651876,256.5459855608667
ENSG00000156265,MAP3K7CL,protein_coding,-5.636604672851438,-4.345432501024667,-3.197559479512842,-5.831158890182191,-5.639332959154787,-4.930017700545184,-5.636604672851438,230.65677286726662
ENSG00000128510,CPA4,protein_coding,-2.812784160550466,-6.2145025925389685,-5.3578498432081,-6.302124630775538,-3.809336321082279,-4.89931950963107,-5.3578498432081,332.925754005
ENSG00000178031,ADAMTSL1,protein_coding,-3.720690105211851,-4.657822976448875,-7.160853424445554,-4.612646308327963,-3.578263643431618,-4.746055291573173,-4.612646308327963,420.26413332826667
ENSG00000134259,NGF,protein_coding,-3.177220751254578,-5.7922283791005515,-1.6503335827757848,-7.489379504013078,-5.55302851438848,-4.732438146306494,-5.55302851438848,77.35392356113331
ENSG00000233521,LINC01638,lncRNA,-4.440488076404519,-5.197558960243083,-5.479587343810395,-4.491065073927587,-3.910893012135296,-4.703918493304176,-4.491065073927587,11.964040567533333
ENSG00000106484,MEST,protein_coding,-2.1298352118916295,-7.217500106386489,-4.7512778704350245,-6.094402934218048,-3.209244106350223,-4.680452045856283,-4.7512778704350245,1437.0380479379996
ENSG00000131737,KRT34,protein_coding,-4.419796567758998,-5.447916942945045,-3.8106374178611517,-4.926788275584177,-4.595123347231497,-4.640052510276173,-4.595123347231497,396.9571891636
ENSG00000145536,ADAMTS16,protein_coding,-3.3939521293931545,-5.420622318695143,-6.692845727340454,-2.9432305094155664,-3.958041002811771,-4.481738337531218,-3.958041002811771,17.122802514466667
ENSG00000220884,MESTP1,processed_pseudogene,-2.6964078422220634,-5.586293925638967,-4.811878675279059,-5.923292289227623,-3.27695346114014,-4.458965238701571,-4.811878675279059,61.60046506046667
ENSG00000232759,AC002480.1,lncRNA,-1.549798302036824,-5.461587375749497,-6.496124491239525,-5.478861502361815,-3.281698041443889,-4.453613942566309,-5.461587375749497,37.99443019933333
ENSG00000186352,ANKRD37,protein_coding,-4.965055530154014,-5.2688103590284925,-3.0978954829871155,-4.411713065898048,-4.391158537759946,-4.426926595165524,-4.411713065898048,288.7742073586666
ENSG00000143320,CRABP2,protein_coding,-5.757417992430063,-5.34137276636249,-3.2949678933848974,-3.166262268017346,-4.487284533715959,-4.40946109078215,-4.487284533715959,115.90109508593332
ENSG00000156453,PCDH1,protein_coding,-3.971168463689725,-5.240322510781952,-2.3770020923175816,-5.915732864496686,-4.349229602191226,-4.370691106695434,-4.349229602191226,45.3747862744
ENSG00000183715,OPCML,protein_coding,-3.497038658554333,-6.104814456224303,-5.605157015267132,-3.3014282599147275,-3.3283730317772813,-4.367362284347555,-3.497038658554333,15.139773345933337
ENSG00000117115,PADI2,protein_coding,-1.9014288420025984,-5.769356726252625,-4.774750118229996,-3.415004929446514,-5.724205627609776,-4.316949248708302,-4.774750118229996,13.733828805533333
ENSG00000235513,L3MBTL2-AS1,lncRNA,-2.8250992004444258,-4.4136652675514885,-6.395413858650412,-4.458099718286839,-3.131501188192716,-4.244755846625176,-4.4136652675514885,65.5146888848
ENSG00000247095,MIR210HG,lncRNA,-3.975164714409337,-3.8684192488027005,-5.124118357102761,-4.359359849003054,-3.5111679696818436,-4.167646027799939,-3.975164714409337,93.58955272146666
ENSG00000120937,NPPB,protein_coding,-7.124310340068088,-2.857351215028605,-0.39727460446232987,-5.0661184230390335,-5.255675630059239,-4.14014604253146,-5.0661184230390335,15.098983543666668
ENSG00000163083,INHBB,protein_coding,-3.964508362522195,-3.947242336804345,-4.675986723494692,-4.600613442804173,-3.043182334119181,-4.0463066399489165,-3.964508362522195,203.87573102293334
ENSG00000163814,CDCP1,protein_coding,-3.040926826991696,-3.6783874468625957,-5.1899772831887265,-4.3973887551693,-3.550553387256932,-3.9714467398938504,-3.6783874468625957,37.94085879993333
ENSG00000111057,KRT18,protein_coding,-2.1983015334205227,-5.205939871158451,-3.9888815522449734,-4.937411321159192,-3.038163800205515,-3.8737396156377315,-3.9888815522449734,2350.030054204
ENSG00000186832,KRT16,protein_coding,-4.809208850575714,-4.7165035917056715,-3.5015519236189276,-4.031215126614348,-2.2524013759268935,-3.8621761736883107,-4.031215126614348,78.2903915788
ENSG00000117152,RGS4,protein_coding,-2.670617617736889,-3.877094725184424,-4.128093681240237,-4.770802458084592,-3.8313343659122356,-3.8555885696316756,-3.877094725184424,3273.8800767173325
ENSG00000155961,RAB39B,protein_coding,-2.901652150837259,-2.9543092333209957,-3.92614611420067,-4.937013431307631,-4.509589487069398,-3.845742083347191,-3.92614611420067,7.3196779196
ENSG00000180730,SHISA2,protein_coding,-4.546067493204834,-4.533261975396579,-0.602775823796887,-5.749913013184068,-3.6870168044011664,-3.823807021996707,-4.533261975396579,32.208248686400005
ENSG00000134013,LOXL2,protein_coding,-2.15254678236556,-4.964654062641552,-4.187023977717818,-4.951131331427973,-2.6718344595072416,-3.785438122732029,-4.187023977717818,9057.583609486666
ENSG00000288557,AC080097.1,lncRNA,-2.50567104571522,-3.6454893350775257,-5.720667053375971,-3.095090853977691,-3.9211414417034214,-3.7776119459699657,-3.6454893350775257,20.983331144599997
ENSG00000250927,MESTP3,processed_pseudogene,-3.2819395674784593,-3.1887426750988856,-4.267470636369302,-4.637932338360289,-3.4226498298419785,-3.759747009429783,-3.4226498298419785,9.0159483894
ENSG00000232949,AC002480.2,lncRNA,-0.4819058668677041,-4.960263540226898,-5.107481654208475,-4.564978187503768,-3.276315350488877,-3.6781889198591444,-4.564978187503768,15.848559799666665
ENSG00000250056,LINC01018,lncRNA,-2.212948408351221,-4.476415390802521,-6.0203011797218755,-3.8279173849006765,-1.5831737667516022,-3.6241512261055795,-3.8279173849006765,55.13501968606667
ENSG00000164283,ESM1,protein_coding,-3.505447239134825,-3.5355452511347973,-4.663658107873344,-4.29208920811697,-2.093834761726879,-3.6181149135973625,-3.5355452511347973,13.17197159186667
