Ensembl_ID_base,gene_name,gene_type,log2FC_7043,log2FC_7078,log2FC_7083,log2FC_8004,log2FC_8013,mean_log2FC,median_log2FC,mean_expression
ENSG00000173432,SAA1,protein_coding,9.662429179944677,8.99688735428982,10.201683363794428,12.272705781461891,10.310661144428465,10.288873364783857,10.201683363794428,5072.280160682467
ENSG00000162706,CADM3,protein_coding,10.410996124852112,10.047142114966032,9.522642530413863,9.25318543552864,11.673266762315341,10.181446593615199,10.047142114966032,2581.4565877445334
ENSG00000134339,SAA2,protein_coding,8.363017646050068,9.422640965669508,10.502818499593033,9.98952854996848,8.169460049446919,9.2894931421456,9.422640965669508,1126.5024731486
ENSG00000189221,MAOA,protein_coding,7.098843132639608,8.804713005378275,10.089088397413223,9.61229895696724,9.888875800925602,9.09876385866479,9.61229895696724,2303.600662273933
ENSG00000127083,OMD,protein_coding,9.041748356161444,8.15247465722791,8.227470920716586,10.577514670557612,9.405713084390413,9.080984337810794,9.041748356161444,460.4190151226
ENSG00000109906,ZBTB16,protein_coding,7.855759866153254,9.740630167877894,8.653949612347908,9.946551855033686,8.532474919536368,8.945873284189823,8.653949612347908,541.1664433506668
ENSG00000084674,APOB,protein_coding,8.213158546008254,7.3306311103427975,8.399036644722555,9.80440401699767,10.141132790522729,8.777672621718802,8.399036644722555,601.8551807943334
ENSG00000101938,CHRDL1,protein_coding,8.050656155103447,9.496072239891774,9.337384631607883,9.36179300925637,7.334964127602464,8.716174032692388,9.337384631607883,4320.661806884
ENSG00000129988,LBP,protein_coding,8.595855582936036,7.68495344894307,7.824391992605108,8.760541444695919,10.186961710756995,8.610540835987425,8.595855582936036,301.2532230571333
ENSG00000166510,CCDC68,protein_coding,5.111104106635924,8.083008466861056,10.245313327729441,8.470664233212581,6.724880174119162,7.7269940617116335,8.083008466861056,720.8609714194
ENSG00000174697,LEP,protein_coding,6.092957757200997,7.670067706074437,8.492699175576771,7.636522542647093,8.437827436449327,7.666014923589725,7.670067706074437,633.0441667048
ENSG00000145244,CORIN,protein_coding,5.748674724496871,7.0953003723262915,8.545687100913483,9.754564681445665,6.5719125034099735,7.543227876518456,7.0953003723262915,3255.1666139912672
ENSG00000137673,MMP7,protein_coding,4.836177956138603,8.760119463475254,8.136273176035502,9.110683514068645,6.789392391527389,7.526529300249078,8.136273176035502,178.75179273733335
ENSG00000113494,PRLR,protein_coding,4.94776488359384,12.202444961945766,8.737178206902627,9.977534789821657,1.068060636787782,7.3865966958103355,8.737178206902627,604.9471746042667
ENSG00000163739,CXCL1,protein_coding,5.780874623089461,8.984333367477028,7.2130869562994135,7.017766486739086,7.720965805726818,7.3434054478663615,7.2130869562994135,99.66568407200002
ENSG00000186417,GLDN,protein_coding,4.612481867172322,7.656979780119685,9.907426555983836,8.919790895916893,5.03665579375655,7.226666978589857,7.656979780119685,236.33411991646668
ENSG00000106809,OGN,protein_coding,4.512373079369097,7.806572307332188,9.188106588758986,10.319787610948419,4.180761624859494,7.201520242253636,7.806572307332188,258.0338223930667
ENSG00000104435,STMN2,protein_coding,4.359326273255369,9.219637986115211,9.77663839278751,6.886045353524242,5.492327527969762,7.146795106730418,6.886045353524242,160.77579493553333
ENSG00000099998,GGT5,protein_coding,7.2038569460972095,6.428298848212695,7.831455981636261,7.505079233899502,6.376748837651402,7.069087969499414,7.2038569460972095,285.1571199782
ENSG00000162998,FRZB,protein_coding,4.276249811162773,7.49661538707374,9.155281301024097,11.063254477063829,3.2425478698789028,7.046789769240668,7.49661538707374,474.48276220933326
ENSG00000179593,ALOX15B,protein_coding,6.003823752512342,8.040230507335549,6.539051904530504,7.703197334587153,6.3148177210859515,6.920224244010299,6.539051904530504,108.00081096606667
ENSG00000187288,CIDEC,protein_coding,4.359326273255369,8.790678471715513,9.210389523709425,8.500223090166289,3.555498390283885,6.8832231498260965,8.500223090166289,119.70592791466666
ENSG00000104044,OCA2,protein_coding,5.4804145893463625,8.996400822809925,8.345033459441161,8.233554168290183,2.9214095236401265,6.795362512705552,8.233554168290183,130.59374738746666
ENSG00000133687,TMTC1,protein_coding,4.726065949870555,7.220901249289619,7.7251274136689005,7.317449843976851,6.963363790200209,6.790581649401227,7.220901249289619,1401.461758078
