,PC1,PC2,day,donor
hMSC_7043_day0,101.4063011914572,18.128330366755545,0,7043
hMSC_7078_day0,45.91039235669055,5.549709805421441,0,7078
hMSC_7083_day0,65.52969141378915,6.0629182605465575,0,7083
hMSC_8004_day0,71.89641118660033,4.343107652868637,0,8004
hMSC_8013_day0,92.8369528950915,19.36579346979646,0,8013
hMSC_7043_day7,-71.55428413553867,-39.03928279506467,7,7043
hMSC_7078_day7,-110.44229336822623,-75.70064211063799,7,7078
hMSC_7083_day7,30.352241092656584,-0.6026711369401091,7,7083
hMSC_8004_day7,-46.636761313643255,-44.34353291447975,7,8004
hMSC_8013_day7,47.426399129382865,1.6928718040029571,7,8013
hMSC_7043_day14,31.084504388769634,-4.187802878760646,14,7043
hMSC_7078_day14,-81.62805086284055,-27.002070235307762,14,7078
hMSC_7083_day14,-121.46344120953766,178.35389424020093,14,7083
hMSC_8004_day14,-61.79063977791757,-29.136289721536343,14,8004
hMSC_8013_day14,7.072577013266217,-13.484333806865349,14,8013
